variable,id,group,value
Census Tract 6302,17031010100,min15,7.402228987
Census Tract 4304,17031010201,min15,7.460937079
Census Tract 4306,17031010202,min15,7.489170462
Census Tract 4308,17031010300,min15,7.42562409
Census Tract 4305,17031010400,min15,8.422804351
Census Tract 4309,17031010501,min15,8.182722558
Census Tract 6103,17031010502,min15,8.427987383
Census Tract 6810,17031010503,min15,5.793424807
Census Tract 6811,17031010600,min15,8.237951531
Census Tract 6805,17031010701,min15,7.670835662
Census Tract 8034,17031010702,min15,7.795743341
Census Tract 8035,17031020100,min15,7.58765229
Census Tract 8036.04,17031020200,min15,7.287872131
Census Tract 6809,17031020301,min15,7.977248899
Census Tract 8036.07,17031020302,min15,7.231310852
Census Tract 8094,17031020400,min15,7.257626742
Census Tract 8095,17031020500,min15,8.33493214
Census Tract 8096,17031020601,min15,4.583574613
Census Tract 8097,17031020602,min15,7.567463281
Census Tract 8098,17031020701,min15,4.328006148
Census Tract 8099,17031020702,min15,4.565217425
Census Tract 8100,17031020801,min15,5.505800884
Census Tract 8255.01,17031020802,min15,5.478432199
Census Tract 7201,17031020901,min15,5.80050472
Census Tract 8244,17031020902,min15,6.080525033
Census Tract 7202,17031030101,min15,9.626945863
Census Tract 7203,17031030102,min15,8.961763204
Census Tract 7204,17031030103,min15,9.134163277
Census Tract 7205,17031030104,min15,8.961763204
Census Tract 7206,17031030200,min15,5.318065106
Census Tract 7207,17031030300,min15,6.013956279
Census Tract 406,17031030400,min15,5.262422364
Census Tract 407,17031030500,min15,9.433098762
Census Tract 408,17031030601,min15,9.422881243
Census Tract 8169,17031030603,min15,9.819709105
Census Tract 8170,17031030604,min15,9.635652849
Census Tract 8171.01,17031030701,min15,9.493745134
Census Tract 8171.02,17031030702,min15,9.583777759
Census Tract 8258.01,17031030703,min15,9.569267931
Census Tract 8258.02,17031030706,min15,9.583777759
Census Tract 8258.03,17031030800,min15,9.089108814
Census Tract 8259,17031030900,min15,9.129502921
Census Tract 8260,17031031000,min15,9.418450949
Census Tract 3801,17031031100,min15,9.062476691
Census Tract 3802,17031031200,min15,9.085765362
Census Tract 4312,17031031300,min15,9.240404618
Census Tract 4314,17031031400,min15,9.177219268
Census Tract 8039.02,17031031501,min15,8.762283211
Census Tract 8040,17031031502,min15,8.931882604
Census Tract 8041.04,17031031700,min15,10.01768324
Census Tract 8101,17031031800,min15,10.06243804
Census Tract 8102,17031031900,min15,11.13261589
Census Tract 8103.01,17031032100,min15,9.131485308
Census Tract 501,17031040100,min15,5.229881439
Census Tract 6108,17031040201,min15,5.696398236
Census Tract 6110,17031040202,min15,5.622097064
Census Tract 6111,17031040300,min15,5.069755443
Census Tract 6113,17031040401,min15,5.841461886
Census Tract 6114,17031040402,min15,5.108427214
Census Tract 6115,17031040600,min15,5.941353447
Census Tract 6119,17031040700,min15,5.932357016
Census Tract 6812,17031040800,min15,6.778351198
Census Tract 8103.02,17031040900,min15,6.279897967
Census Tract 8104,17031050100,min15,9.858454079
Census Tract 8107.01,17031050200,min15,10.87739552
Census Tract 8107.02,17031050300,min15,14.34494139
Census Tract 8106,17031050500,min15,13.69198032
Census Tract 8172,17031050600,min15,10.88288215
Census Tract 8174,17031050700,min15,13.42736722
Census Tract 8176,17031050800,min15,13.78134498
Census Tract 6912,17031050900,min15,13.8454146
Census Tract 6911,17031051000,min15,14.63680992
Census Tract 7301,17031051100,min15,13.69237277
Census Tract 7303,17031051200,min15,13.60017413
Census Tract 7304,17031051300,min15,13.65611014
Census Tract 8177,17031051400,min15,13.65019102
Census Tract 8181,17031060100,min15,10.49030539
Census Tract 8261,17031060200,min15,11.14125367
Census Tract 8263.01,17031060300,min15,13.47790339
Census Tract 8263.03,17031060400,min15,13.33225531
Census Tract 8263.04,17031060500,min15,10.3164844
Census Tract 7305,17031060800,min15,9.140030563
Census Tract 7306,17031060900,min15,9.222650199
Census Tract 8028.01,17031061000,min15,9.219330585
Census Tract 3805,17031061100,min15,10.1164336
Census Tract 3812,17031061200,min15,13.04153262
Census Tract 3814,17031061500,min15,13.05668017
Census Tract 4403,17031061800,min15,9.238138371
Census Tract 8047.06,17031061901,min15,9.979946866
Census Tract 8047.10,17031061902,min15,13.01104083
Census Tract 8108,17031062000,min15,9.029190202
Census Tract 8109,17031062100,min15,10.02057655
Census Tract 8110,17031062200,min15,12.87414841
Census Tract 6120,17031062300,min15,13.06260688
Census Tract 6121,17031062400,min15,13.34859905
Census Tract 6201,17031062500,min15,13.74496191
Census Tract 6202,17031062600,min15,14.13368488
Census Tract 6203,17031062700,min15,14.13415155
Census Tract 6204,17031062800,min15,13.10021451
Census Tract 6301,17031062900,min15,13.01123013
Census Tract 8105.01,17031063000,min15,12.85810132
Census Tract 8105.02,17031063100,min15,9.878328789
Census Tract 8122,17031063200,min15,13.01688455
Census Tract 8182,17031063301,min15,12.64545407
Census Tract 8184.02,17031063302,min15,9.93088294
Census Tract 8188,17031063303,min15,12.61327764
Census Tract 8189,17031063400,min15,12.8426853
Census Tract 8264.02,17031070101,min15,9.294333548
Census Tract 8266,17031070102,min15,9.829805555
Census Tract 8267,17031070103,min15,12.43211068
Census Tract 8269.01,17031070200,min15,12.37538834
Census Tract 8269.02,17031070300,min15,12.85670644
Census Tract 7307,17031070400,min15,13.4074795
Census Tract 7401,17031070500,min15,13.98825994
Census Tract 7402,17031070600,min15,14.37783916
Census Tract 7403,17031070700,min15,14.36669845
Census Tract 7404,17031071000,min15,14.17316376
Census Tract 8030.05,17031071100,min15,13.93570985
Census Tract 8030.07,17031071200,min15,13.22298208
Census Tract 3818,17031071300,min15,12.89239612
Census Tract 3819,17031071400,min15,12.80566283
Census Tract 3901,17031071500,min15,13.12010214
Census Tract 3902,17031071600,min15,13.13491446
Census Tract 3903,17031071700,min15,13.4626827
Census Tract 3904,17031071800,min15,13.45974208
Census Tract 3905,17031080100,min15,13.17401928
Census Tract 3906,17031080201,min15,13.41144406
Census Tract 3907,17031080202,min15,13.18432301
Census Tract 8047.11,17031080300,min15,13.30410671
Census Tract 8048.06,17031080400,min15,13.26090058
Census Tract 8048.08,17031081000,min15,13.47357077
Census Tract 8048.09,17031081100,min15,13.28492168
Census Tract 8124,17031081201,min15,13.29303112
Census Tract 8125,17031081202,min15,13.25807429
Census Tract 4406,17031081300,min15,13.29398262
Census Tract 4409,17031081401,min15,13.48782766
Census Tract 4407,17031081402,min15,13.52183705
Census Tract 4408,17031081403,min15,13.67430898
Census Tract 8193,17031081500,min15,13.84962221
Census Tract 8194,17031081600,min15,13.88683258
Census Tract 8195,17031081700,min15,14.0140279
Census Tract 6309,17031081800,min15,14.09284452
