group,variable,value
min15,17031010100,7.402228987
min15,17031010201,7.460937079
min15,17031010202,7.489170462
min15,17031010300,7.42562409
min15,17031010400,8.422804351
min15,17031010501,8.182722558
min15,17031010502,8.427987383
min15,17031010503,5.793424807
min15,17031010600,8.237951531
min15,17031010701,7.670835662
min15,17031010702,7.795743341
min15,17031020100,7.58765229
min15,17031020200,7.287872131
min15,17031020301,7.977248899
min15,17031020302,7.231310852
min15,17031020400,7.257626742
min15,17031020500,8.33493214
min15,17031020601,4.583574613
min15,17031020602,7.567463281
min15,17031020701,4.328006148
min15,17031020702,4.565217425
min15,17031020801,5.505800884
min15,17031020802,5.478432199
min15,17031020901,5.80050472
min15,17031020902,6.080525033
min15,17031030101,9.626945863
min15,17031030102,8.961763204
min15,17031030103,9.134163277
min15,17031030104,8.961763204
min15,17031030200,5.318065106
min15,17031030300,6.013956279
min15,17031030400,5.262422364
min15,17031030500,9.433098762
min15,17031030601,9.422881243
min15,17031030603,9.819709105
min15,17031030604,9.635652849
min15,17031030701,9.493745134
min15,17031030702,9.583777759
min15,17031030703,9.569267931
min15,17031030706,9.583777759
min15,17031030800,9.089108814
min15,17031030900,9.129502921
min15,17031031000,9.418450949
min15,17031031100,9.062476691
min15,17031031200,9.085765362
min15,17031031300,9.240404618
min15,17031031400,9.177219268
min15,17031031501,8.762283211
min15,17031031502,8.931882604
min15,17031031700,10.01768324
min15,17031031800,10.06243804
min15,17031031900,11.13261589
min15,17031032100,9.131485308
min15,17031040100,5.229881439
min15,17031040201,5.696398236
min15,17031040202,5.622097064
min15,17031040300,5.069755443
min15,17031040401,5.841461886
min15,17031040402,5.108427214
min15,17031040600,5.941353447
min15,17031040700,5.932357016
min15,17031040800,6.778351198
min15,17031040900,6.279897967
min15,17031050100,9.858454079
min15,17031050200,10.87739552
min15,17031050300,14.34494139
min15,17031050500,13.69198032
min15,17031050600,10.88288215
min15,17031050700,13.42736722
min15,17031050800,13.78134498
min15,17031050900,13.8454146
min15,17031051000,14.63680992
min15,17031051100,13.69237277
min15,17031051200,13.60017413
min15,17031051300,13.65611014
min15,17031051400,13.65019102
min15,17031060100,10.49030539
min15,17031060200,11.14125367
min15,17031060300,13.47790339
min15,17031060400,13.33225531
min15,17031060500,10.3164844
min15,17031060800,9.140030563
min15,17031060900,9.222650199
min15,17031061000,9.219330585
min15,17031061100,10.1164336
min15,17031061200,13.04153262
min15,17031061500,13.05668017
min15,17031061800,9.238138371
min15,17031061901,9.979946866
min15,17031061902,13.01104083
min15,17031062000,9.029190202
min15,17031062100,10.02057655
min15,17031062200,12.87414841
min15,17031062300,13.06260688
min15,17031062400,13.34859905
min15,17031062500,13.74496191
min15,17031062600,14.13368488
min15,17031062700,14.13415155
min15,17031062800,13.10021451
min15,17031062900,13.01123013
min15,17031063000,12.85810132
min15,17031063100,9.878328789
min15,17031063200,13.01688455
min15,17031063301,12.64545407
min15,17031063302,9.93088294
min15,17031063303,12.61327764
min15,17031063400,12.8426853
min15,17031070101,9.294333548
min15,17031070102,9.829805555
min15,17031070103,12.43211068
min15,17031070200,12.37538834
min15,17031070300,12.85670644
min15,17031070400,13.4074795
min15,17031070500,13.98825994
min15,17031070600,14.37783916
min15,17031070700,14.36669845
min15,17031071000,14.17316376
min15,17031071100,13.93570985
min15,17031071200,13.22298208
min15,17031071300,12.89239612
min15,17031071400,12.80566283
min15,17031071500,13.12010214
min15,17031071600,13.13491446
