variable,group,value
Census Tract 6302,15min,7.402228987
Census Tract 4304,15min,7.460937079
Census Tract 4306,15min,7.489170462
Census Tract 4308,15min,7.42562409
Census Tract 4305,15min,8.422804351
Census Tract 4309,15min,8.182722558
Census Tract 6103,15min,8.427987383
Census Tract 6810,15min,5.793424807
Census Tract 6811,15min,8.237951531
Census Tract 6805,15min,7.670835662
Census Tract 8034,15min,7.795743341
Census Tract 8035,15min,7.58765229
Census Tract 8036.04,15min,7.287872131
Census Tract 6809,15min,7.977248899
Census Tract 8036.07,15min,7.231310852
Census Tract 8094,15min,7.257626742
Census Tract 8095,15min,8.33493214
Census Tract 8096,15min,4.583574613
Census Tract 8097,15min,7.567463281
Census Tract 8098,15min,4.328006148
Census Tract 8099,15min,4.565217425
Census Tract 8100,15min,5.505800884
Census Tract 8255.01,15min,5.478432199
Census Tract 7201,15min,5.80050472
Census Tract 8244,15min,6.080525033
Census Tract 7202,15min,9.626945863
Census Tract 7203,15min,8.961763204
Census Tract 7204,15min,9.134163277
Census Tract 7205,15min,8.961763204
Census Tract 7206,15min,5.318065106
Census Tract 7207,15min,6.013956279
Census Tract 406,15min,5.262422364
Census Tract 407,15min,9.433098762
Census Tract 408,15min,9.422881243
Census Tract 8169,15min,9.819709105
Census Tract 8170,15min,9.635652849
Census Tract 8171.01,15min,9.493745134
Census Tract 8171.02,15min,9.583777759
Census Tract 8258.01,15min,9.569267931
Census Tract 8258.02,15min,9.583777759
Census Tract 8258.03,15min,9.089108814
Census Tract 8259,15min,9.129502921
Census Tract 8260,15min,9.418450949
Census Tract 3801,15min,9.062476691
Census Tract 3802,15min,9.085765362
Census Tract 4312,15min,9.240404618
Census Tract 4314,15min,9.177219268
Census Tract 8039.02,15min,8.762283211
Census Tract 8040,15min,8.931882604
Census Tract 8041.04,15min,10.01768324
Census Tract 8101,15min,10.06243804
Census Tract 8102,15min,11.13261589
Census Tract 8103.01,15min,9.131485308
Census Tract 501,15min,5.229881439
Census Tract 6108,15min,5.696398236
Census Tract 6110,15min,5.622097064
Census Tract 6111,15min,5.069755443
Census Tract 6113,15min,5.841461886
Census Tract 6114,15min,5.108427214
Census Tract 6115,15min,5.941353447
Census Tract 6119,15min,5.932357016
Census Tract 6812,15min,6.778351198
Census Tract 8103.02,15min,6.279897967
Census Tract 8104,15min,9.858454079
Census Tract 8107.01,15min,10.87739552
Census Tract 8107.02,15min,14.34494139
Census Tract 8106,15min,13.69198032
Census Tract 8172,15min,10.88288215
Census Tract 8174,15min,13.42736722
Census Tract 8176,15min,13.78134498
Census Tract 6912,15min,13.8454146
Census Tract 6911,15min,14.63680992
Census Tract 7301,15min,13.69237277
Census Tract 7303,15min,13.60017413
Census Tract 7304,15min,13.65611014
Census Tract 8177,15min,13.65019102
Census Tract 8181,15min,10.49030539
Census Tract 8261,15min,11.14125367
Census Tract 8263.01,15min,13.47790339
Census Tract 8263.03,15min,13.33225531
Census Tract 8263.04,15min,10.3164844
Census Tract 7305,15min,9.140030563
Census Tract 7306,15min,9.222650199
Census Tract 8028.01,15min,9.219330585
Census Tract 3805,15min,10.1164336
Census Tract 3812,15min,13.04153262
Census Tract 3814,15min,13.05668017
Census Tract 4403,15min,9.238138371
Census Tract 8047.06,15min,9.979946866
Census Tract 8047.10,15min,13.01104083
Census Tract 8108,15min,9.029190202
Census Tract 8109,15min,10.02057655
Census Tract 8110,15min,12.87414841
Census Tract 6120,15min,13.06260688
Census Tract 6121,15min,13.34859905
Census Tract 6201,15min,13.74496191
Census Tract 6202,15min,14.13368488
Census Tract 6203,15min,14.13415155
Census Tract 6204,15min,13.10021451
Census Tract 6301,15min,13.01123013
Census Tract 8105.01,15min,12.85810132
Census Tract 8105.02,15min,9.878328789
Census Tract 8122,15min,13.01688455
Census Tract 8182,15min,12.64545407
Census Tract 8184.02,15min,9.93088294
Census Tract 8188,15min,12.61327764
Census Tract 8189,15min,12.8426853
Census Tract 8264.02,15min,9.294333548
Census Tract 8266,15min,9.829805555
Census Tract 8267,15min,12.43211068
Census Tract 8269.01,15min,12.37538834
Census Tract 8269.02,15min,12.85670644
Census Tract 7307,15min,13.4074795
Census Tract 7401,15min,13.98825994
Census Tract 7402,15min,14.37783916
Census Tract 7403,15min,14.36669845
Census Tract 7404,15min,14.17316376
Census Tract 8030.05,15min,13.93570985
Census Tract 8030.07,15min,13.22298208
Census Tract 3818,15min,12.89239612
Census Tract 3819,15min,12.80566283
Census Tract 3901,15min,13.12010214
Census Tract 3902,15min,13.13491446
Census Tract 3903,15min,13.4626827
Census Tract 3904,15min,13.45974208
Census Tract 3905,15min,13.17401928
Census Tract 3906,15min,13.41144406
Census Tract 3907,15min,13.18432301
Census Tract 8047.11,15min,13.30410671
Census Tract 8048.06,15min,13.26090058
Census Tract 8048.08,15min,13.47357077
Census Tract 8048.09,15min,13.28492168
Census Tract 8124,15min,13.29303112
Census Tract 8125,15min,13.25807429
Census Tract 4406,15min,13.29398262
Census Tract 4409,15min,13.48782766
Census Tract 4407,15min,13.52183705
Census Tract 4408,15min,13.67430898
Census Tract 8193,15min,13.84962221
Census Tract 8194,15min,13.88683258
Census Tract 8195,15min,14.0140279
Census Tract 6309,15min,14.09284452
Census Tract 6303,15min,13.69537407
Census Tract 6305,15min,7.373496922
Census Tract 6308,15min,7.462092177
Census Tract 6401,15min,6.965507652
Census Tract 6403,15min,4.167711363
Census Tract 8196,15min,7.214790419
Census Tract 8270,15min,8.236788464
Census Tract 8271,15min,4.120395706
Census Tract 3817,15min,4.259660075
Census Tract 8272,15min,5.087492231
Census Tract 8273,15min,3.298624738
Census Tract 7501,15min,4.536547312
Census Tract 7502,15min,5.387033048
Census Tract 7503,15min,5.113987243
Census Tract 7504,15min,5.245175309
Census Tract 7505,15min,5.897325386
Census Tract 8049.01,15min,4.878847822
Census Tract 8049.02,15min,8.296886236
Census Tract 8050.01,15min,7.383098978
Census Tract 8050.02,15min,8.548283044
Census Tract 1001,15min,14.70986278
Census Tract 1003,15min,5.915621311
Census Tract 1401,15min,2.458569851
