variable,group,value,id
Census Tract 6302,15min,7.402228987,17031010100
Census Tract 4304,15min,7.460937079,17031010201
Census Tract 4306,15min,7.489170462,17031010202
Census Tract 4308,15min,7.42562409,17031010300
Census Tract 4305,15min,8.422804351,17031010400
Census Tract 4309,15min,8.182722558,17031010501
Census Tract 6103,15min,8.427987383,17031010502
Census Tract 6810,15min,5.793424807,17031010503
Census Tract 6811,15min,8.237951531,17031010600
Census Tract 6805,15min,7.670835662,17031010701
Census Tract 8034,15min,7.795743341,17031010702
Census Tract 8035,15min,7.58765229,17031020100
Census Tract 8036.04,15min,7.287872131,17031020200
Census Tract 6809,15min,7.977248899,17031020301
Census Tract 8036.07,15min,7.231310852,17031020302
Census Tract 8094,15min,7.257626742,17031020400
Census Tract 8095,15min,8.33493214,17031020500
Census Tract 8096,15min,4.583574613,17031020601
Census Tract 8097,15min,7.567463281,17031020602
Census Tract 8098,15min,4.328006148,17031020701
Census Tract 8099,15min,4.565217425,17031020702
Census Tract 8100,15min,5.505800884,17031020801
Census Tract 8255.01,15min,5.478432199,17031020802
Census Tract 7201,15min,5.80050472,17031020901
Census Tract 8244,15min,6.080525033,17031020902
Census Tract 7202,15min,9.626945863,17031030101
Census Tract 7203,15min,8.961763204,17031030102
Census Tract 7204,15min,9.134163277,17031030103
Census Tract 7205,15min,8.961763204,17031030104
Census Tract 7206,15min,5.318065106,17031030200
Census Tract 7207,15min,6.013956279,17031030300
Census Tract 406,15min,5.262422364,17031030400
Census Tract 407,15min,9.433098762,17031030500
Census Tract 408,15min,9.422881243,17031030601
Census Tract 8169,15min,9.819709105,17031030603
Census Tract 8170,15min,9.635652849,17031030604
Census Tract 8171.01,15min,9.493745134,17031030701
Census Tract 8171.02,15min,9.583777759,17031030702
Census Tract 8258.01,15min,9.569267931,17031030703
Census Tract 8258.02,15min,9.583777759,17031030706
Census Tract 8258.03,15min,9.089108814,17031030800
Census Tract 8259,15min,9.129502921,17031030900
Census Tract 8260,15min,9.418450949,17031031000
Census Tract 3801,15min,9.062476691,17031031100
Census Tract 3802,15min,9.085765362,17031031200
Census Tract 4312,15min,9.240404618,17031031300
Census Tract 4314,15min,9.177219268,17031031400
Census Tract 8039.02,15min,8.762283211,17031031501
Census Tract 8040,15min,8.931882604,17031031502
Census Tract 8041.04,15min,10.01768324,17031031700
Census Tract 8101,15min,10.06243804,17031031800
Census Tract 8102,15min,11.13261589,17031031900
Census Tract 8103.01,15min,9.131485308,17031032100
Census Tract 501,15min,5.229881439,17031040100
Census Tract 6108,15min,5.696398236,17031040201
Census Tract 6110,15min,5.622097064,17031040202
Census Tract 6111,15min,5.069755443,17031040300
Census Tract 6113,15min,5.841461886,17031040401
Census Tract 6114,15min,5.108427214,17031040402
Census Tract 6115,15min,5.941353447,17031040600
Census Tract 6119,15min,5.932357016,17031040700
Census Tract 6812,15min,6.778351198,17031040800
Census Tract 8103.02,15min,6.279897967,17031040900
Census Tract 8104,15min,9.858454079,17031050100
Census Tract 8107.01,15min,10.87739552,17031050200
Census Tract 8107.02,15min,14.34494139,17031050300
Census Tract 8106,15min,13.69198032,17031050500
Census Tract 8172,15min,10.88288215,17031050600
Census Tract 8174,15min,13.42736722,17031050700
Census Tract 8176,15min,13.78134498,17031050800
Census Tract 6912,15min,13.8454146,17031050900
Census Tract 6911,15min,14.63680992,17031051000
Census Tract 7301,15min,13.69237277,17031051100
Census Tract 7303,15min,13.60017413,17031051200
Census Tract 7304,15min,13.65611014,17031051300
Census Tract 8177,15min,13.65019102,17031051400
Census Tract 8181,15min,10.49030539,17031060100
Census Tract 8261,15min,11.14125367,17031060200
Census Tract 8263.01,15min,13.47790339,17031060300
Census Tract 8263.03,15min,13.33225531,17031060400
Census Tract 8263.04,15min,10.3164844,17031060500
Census Tract 7305,15min,9.140030563,17031060800
Census Tract 7306,15min,9.222650199,17031060900
Census Tract 8028.01,15min,9.219330585,17031061000
Census Tract 3805,15min,10.1164336,17031061100
Census Tract 3812,15min,13.04153262,17031061200
Census Tract 3814,15min,13.05668017,17031061500
Census Tract 4403,15min,9.238138371,17031061800
Census Tract 8047.06,15min,9.979946866,17031061901
Census Tract 8047.10,15min,13.01104083,17031061902
Census Tract 8108,15min,9.029190202,17031062000
Census Tract 8109,15min,10.02057655,17031062100
Census Tract 8110,15min,12.87414841,17031062200
Census Tract 6120,15min,13.06260688,17031062300
Census Tract 6121,15min,13.34859905,17031062400
Census Tract 6201,15min,13.74496191,17031062500
Census Tract 6202,15min,14.13368488,17031062600
Census Tract 6203,15min,14.13415155,17031062700
Census Tract 6204,15min,13.10021451,17031062800
Census Tract 6301,15min,13.01123013,17031062900
Census Tract 8105.01,15min,12.85810132,17031063000
Census Tract 8105.02,15min,9.878328789,17031063100
Census Tract 8122,15min,13.01688455,17031063200
Census Tract 8182,15min,12.64545407,17031063301
Census Tract 8184.02,15min,9.93088294,17031063302
Census Tract 8188,15min,12.61327764,17031063303
Census Tract 8189,15min,12.8426853,17031063400
Census Tract 8264.02,15min,9.294333548,17031070101
Census Tract 8266,15min,9.829805555,17031070102
Census Tract 8267,15min,12.43211068,17031070103
Census Tract 8269.01,15min,12.37538834,17031070200
Census Tract 8269.02,15min,12.85670644,17031070300
Census Tract 7307,15min,13.4074795,17031070400
Census Tract 7401,15min,13.98825994,17031070500
Census Tract 7402,15min,14.37783916,17031070600
Census Tract 7403,15min,14.36669845,17031070700
Census Tract 7404,15min,14.17316376,17031071000
Census Tract 8030.05,15min,13.93570985,17031071100
Census Tract 8030.07,15min,13.22298208,17031071200
Census Tract 3818,15min,12.89239612,17031071300
Census Tract 3819,15min,12.80566283,17031071400
Census Tract 3901,15min,13.12010214,17031071500
Census Tract 3902,15min,13.13491446,17031071600
Census Tract 3903,15min,13.4626827,17031071700
Census Tract 3904,15min,13.45974208,17031071800
Census Tract 3905,15min,13.17401928,17031080100
Census Tract 3906,15min,13.41144406,17031080201
Census Tract 3907,15min,13.18432301,17031080202
Census Tract 8047.11,15min,13.30410671,17031080300
Census Tract 8048.06,15min,13.26090058,17031080400
Census Tract 8048.08,15min,13.47357077,17031081000
Census Tract 8048.09,15min,13.28492168,17031081100
Census Tract 8124,15min,13.29303112,17031081201
Census Tract 8125,15min,13.25807429,17031081202
Census Tract 4406,15min,13.29398262,17031081300
Census Tract 4409,15min,13.48782766,17031081401
Census Tract 4407,15min,13.52183705,17031081402
Census Tract 4408,15min,13.67430898,17031081403
Census Tract 8193,15min,13.84962221,17031081500
Census Tract 8194,15min,13.88683258,17031081600
Census Tract 8195,15min,14.0140279,17031081700
Census Tract 6309,15min,14.09284452,17031081800
Census Tract 6303,15min,13.69537407,17031081900
Census Tract 6305,15min,7.373496922,17031090100
Census Tract 6308,15min,7.462092177,17031090200
Census Tract 6401,15min,6.965507652,17031090300
Census Tract 6403,15min,4.167711363,17031100100
Census Tract 8196,15min,7.214790419,17031100200
Census Tract 8270,15min,8.236788464,17031100300
Census Tract 8271,15min,4.120395706,17031100400
Census Tract 3817,15min,4.259660075,17031100500
Census Tract 8272,15min,5.087492231,17031100600
Census Tract 8273,15min,3.298624738,17031100700
Census Tract 7501,15min,4.536547312,17031110100
Census Tract 7502,15min,5.387033048,17031110200
Census Tract 7503,15min,5.113987243,17031110300
Census Tract 7504,15min,5.245175309,17031110400
Census Tract 7505,15min,5.897325386,17031110501
Census Tract 8049.01,15min,4.878847822,17031110502
Census Tract 8049.02,15min,8.296886236,17031120100
Census Tract 8050.01,15min,7.383098978,17031120200
Census Tract 8050.02,15min,8.548283044,17031120300
Census Tract 1001,15min,14.70986278,17031120400
Census Tract 1003,15min,5.915621311,17031130100
Census Tract 1401,15min,2.458569851,17031130200
Census Tract 1402,15min,4.078043107,17031130300
Census Tract 1404,15min,4.461875004,17031140100
Census Tract 1405,15min,5.929159118,17031140200
Census Tract 8008,15min,5.994094342,17031140301
Census Tract 2427,15min,4.960491034,17031140302
Census Tract 702,15min,5.838744365,17031140400
Census Tract 703,15min,11.48522379,17031140500
Census Tract 704,15min,11.79267596,17031140601
Census Tract 705,15min,7.702969206,17031140602
Census Tract 706,15min,6.952890914,17031140701
Census Tract 707,15min,12.00623923,17031140702
Census Tract 1004,15min,6.810773178,17031140800
Census Tract 1006,15min,8.559590342,17031150200
Census Tract 1007,15min,5.648491694,17031150300
Census Tract 1102,15min,4.114059346,17031150401
Census Tract 1502,15min,3.547065998,17031150402
Census Tract 1503,15min,3.415901086,17031150501
Census Tract 1408,15min,2.954064495,17031150502
Census Tract 2312,15min,3.436136587,17031150600
Census Tract 2311,15min,4.117852227,17031150700
Census Tract 2424,15min,5.422715733,17031150800
Census Tract 2425,15min,3.894812317,17031151001
Census Tract 1202,15min,5.95688375,17031151002
Census Tract 1203,15min,3.098080685,17031151100
Census Tract 1204,15min,3.002575386,17031151200
Census Tract 2315,15min,15.3963171,17031160100
Census Tract 711,15min,16.63540933,17031160200
Census Tract 710,15min,16.14325754,17031160300
Census Tract 712,15min,14.95576862,17031160400
Census Tract 713,15min,15.093881,17031160501
Census Tract 1103,15min,15.14932298,17031160502
Census Tract 2203,15min,8.089494111,17031160601
Census Tract 2204,15min,15.02489927,17031160602
Census Tract 2205,15min,14.88990004,17031160700
Census Tract 2403,15min,15.4112069,17031160800
Census Tract 2405,15min,15.13034973,17031160900
Census Tract 604,15min,16.21915646,17031161000
Census Tract 605,15min,16.17361005,17031161100
Census Tract 2408,15min,6.134862964,17031161200
Census Tract 2406,15min,14.92772364,17031161300
Census Tract 2407,15min,2.513424663,17031170100
Census Tract 2409,15min,3.083231661,17031170200
Census Tract 2426,15min,3.995438312,17031170300
Census Tract 8031,15min,3.989863584,17031170400
Census Tract 3106,15min,3.058182178,17031170500
Census Tract 3107,15min,3.455627461,17031170600
Census Tract 3108,15min,3.709934336,17031170700
Census Tract 206.02,15min,3.893053453,17031170800
Census Tract 3109,15min,4.274157718,17031170900
Census Tract 5101,15min,4.131788352,17031171000
Census Tract 5102,15min,2.820287931,17031171100
Census Tract 5611,15min,3.917643622,17031180100
Census Tract 1907.01,15min,4.58082708,17031190100
Census Tract 209.01,15min,3.762996238,17031190200
Census Tract 102.02,15min,2.172525193,17031190300
Census Tract 5701,15min,2.114066906,17031190401
Census Tract 5702,15min,2.049269837,17031190402
Census Tract 5703,15min,3.070165396,17031190601
Census Tract 5704,15min,3.044410263,17031190602
Census Tract 5705,15min,2.46791589,17031190701
Census Tract 6904,15min,2.45941289,17031190702
Census Tract 6913,15min,2.741453318,17031190800
Census Tract 6914,15min,3.025887127,17031190900
Census Tract 6915,15min,4.078245726,17031191000
Census Tract 3201,15min,2.933382041,17031191100
Census Tract 7105,15min,2.667298043,17031191200
Census Tract 3204,15min,3.503042657,17031191301
Census Tract 5801,15min,3.410351537,17031191302
Census Tract 5802,15min,5.132170117,17031200100
Census Tract 5803,15min,4.368923759,17031200200
Census Tract 5804,15min,3.577620816,17031200300
Census Tract 5806,15min,3.935312769,17031200401
Census Tract 5807,15min,3.753996742,17031200402
Census Tract 6813,15min,15.82208762,17031210100
Census Tract 6814,15min,14.1223549,17031210400
Census Tract 6903,15min,14.60808963,17031210501
Census Tract 6905,15min,13.96373798,17031210502
Census Tract 6909,15min,16.05601666,17031210601
Census Tract 6910,15min,15.3282052,17031210602
Census Tract 7001,15min,15.88965432,17031210700
Census Tract 7002,15min,15.87059319,17031210800
Census Tract 3206,15min,15.83234561,17031210900
Census Tract 3301,15min,15.66726602,17031220300
Census Tract 3302,15min,15.63512691,17031220400
Census Tract 5905,15min,15.29328065,17031220500
Census Tract 5906,15min,14.33245679,17031220601
Census Tract 6712,15min,14.77200196,17031220602
Census Tract 6711,15min,12.96909767,17031220701
Census Tract 6713,15min,13.86593316,17031220702
Census Tract 6715,15min,5.158996629,17031220901
Census Tract 6716,15min,9.737700069,17031220902
Census Tract 6718,15min,12.97952267,17031221000
Census Tract 6719,15min,13.77018215,17031221100
Census Tract 7101,15min,13.54653503,17031221200
Census Tract 7102,15min,14.6463975,17031221300
Census Tract 7104,15min,13.5370449,17031221400
Census Tract 4303,15min,15.50978048,17031221500
Census Tract 7106,15min,15.36893864,17031221600
Census Tract 7108,15min,14.5657742,17031222200
Census Tract 3403,15min,13.78882797,17031222500
Census Tract 3405,15min,13.94054207,17031222600
Census Tract 3406,15min,13.54404784,17031222700
Census Tract 4302,15min,12.57743868,17031222800
