variable,group,value,id
Census Tract 101,15min,0.950969,17031010100
Census Tract 102.01,15min,0.42204,17031010201
Census Tract 102.02,15min,0.184171,17031010202
Census Tract 103,15min,1.0055,17031010300
Census Tract 104,15min,0.145515,17031010400
Census Tract 105.01,15min,1.08801,17031010501
Census Tract 105.02,15min,0.297473,17031010502
Census Tract 105.03,15min,0.0736484,17031010503
Census Tract 106,15min,0.439313,17031010600
Census Tract 107.01,15min,0.153429,17031010701
Census Tract 107.02,15min,0.0655202,17031010702
Census Tract 201,15min,0.0183947,17031020100
Census Tract 202,15min,0.091822,17031020200
Census Tract 203.01,15min,0.0846052,17031020301
Census Tract 203.02,15min,0.0826782,17031020302
Census Tract 204,15min,0.175809,17031020400
Census Tract 205,15min,0.118547,17031020500
Census Tract 206.01,15min,0.101414,17031020601
Census Tract 206.02,15min,0.13883,17031020602
Census Tract 207.01,15min,0.0383213,17031020701
Census Tract 207.02,15min,0.0575309,17031020702
Census Tract 208.01,15min,0.0622281,17031020801
Census Tract 208.02,15min,0.104001,17031020802
Census Tract 209.01,15min,0.118855,17031020901
Census Tract 209.02,15min,0.15116,17031020902
Census Tract 301.01,15min,0.286703,17031030101
Census Tract 301.02,15min,0.488845,17031030102
Census Tract 301.03,15min,0.320346,17031030103
Census Tract 301.04,15min,0.775382,17031030104
Census Tract 302,15min,0.106148,17031030200
Census Tract 303,15min,0.127823,17031030300
Census Tract 304,15min,0.113393,17031030400
Census Tract 305,15min,0.0816237,17031030500
Census Tract 306.01,15min,0.106122,17031030601
Census Tract 306.03,15min,0.0559954,17031030603
Census Tract 306.04,15min,0.0335934,17031030604
Census Tract 307.01,15min,0.087289,17031030701
Census Tract 307.02,15min,0.0456897,17031030702
Census Tract 307.03,15min,0.0649549,17031030703
Census Tract 307.06,15min,0.0307872,17031030706
Census Tract 308,15min,0.020839,17031030800
Census Tract 309,15min,0.120256,17031030900
Census Tract 310,15min,0.0699778,17031031000
Census Tract 311,15min,0.132263,17031031100
Census Tract 312,15min,0.0737735,17031031200
Census Tract 313,15min,0.08281,17031031300
Census Tract 314,15min,0.127334,17031031400
Census Tract 315.01,15min,0.0498545,17031031501
Census Tract 315.02,15min,0.0595579,17031031502
Census Tract 317,15min,0.028926,17031031700
Census Tract 318,15min,0.0886592,17031031800
Census Tract 319,15min,0.0609931,17031031900
Census Tract 321,15min,0.0576353,17031032100
Census Tract 401,15min,0.0932678,17031040100
Census Tract 402.01,15min,0.116342,17031040201
Census Tract 402.02,15min,0.0768716,17031040202
Census Tract 403,15min,0.0504417,17031040300
Census Tract 404.01,15min,0.0412374,17031040401
Census Tract 404.02,15min,0.976003,17031040402
Census Tract 406,15min,0.0960714,17031040600
Census Tract 407,15min,0.049301,17031040700
Census Tract 408,15min,0.0316379,17031040800
Census Tract 409,15min,0.0933958,17031040900
Census Tract 501,15min,0.0450923,17031050100
Census Tract 502,15min,0.12322,17031050200
Census Tract 503,15min,0.0946447,17031050300
Census Tract 505,15min,0.110674,17031050500
Census Tract 506,15min,0.104712,17031050600
Census Tract 507,15min,0.055018,17031050700
Census Tract 508,15min,0.0517395,17031050800
Census Tract 509,15min,0.0869472,17031050900
Census Tract 510,15min,0.0282314,17031051000
Census Tract 511,15min,0.0605504,17031051100
Census Tract 512,15min,0.0692199,17031051200
Census Tract 513,15min,0.120798,17031051300
Census Tract 514,15min,0.111298,17031051400
Census Tract 601,15min,0.141646,17031060100
Census Tract 602,15min,0.0886269,17031060200
Census Tract 603,15min,0.048031,17031060300
Census Tract 604,15min,0.0443913,17031060400
Census Tract 605,15min,0.109663,17031060500
Census Tract 608,15min,0.0733833,17031060800
Census Tract 609,15min,0.734264,17031060900
Census Tract 610,15min,0.140945,17031061000
Census Tract 611,15min,0.0497599,17031061100
Census Tract 612,15min,0.096536,17031061200
Census Tract 615,15min,0.144276,17031061500
Census Tract 618,15min,1.01156,17031061800
Census Tract 619.01,15min,0.0981165,17031061901
Census Tract 619.02,15min,0.095327,17031061902
Census Tract 620,15min,0.101154,17031062000
Census Tract 621,15min,0.0825134,17031062100
Census Tract 622,15min,0.0543292,17031062200
Census Tract 623,15min,0.0687873,17031062300
Census Tract 624,15min,0.0208444,17031062400
Census Tract 625,15min,0.00724525,17031062500
Census Tract 626,15min,0.0405377,17031062600
Census Tract 627,15min,0.0631448,17031062700
Census Tract 628,15min,0.0310277,17031062800
Census Tract 629,15min,0.0492508,17031062900
Census Tract 630,15min,0.010687,17031063000
Census Tract 631,15min,0.0927448,17031063100
Census Tract 632,15min,0.0518517,17031063200
Census Tract 633.01,15min,0.0737855,17031063301
Census Tract 633.02,15min,0.0663665,17031063302
Census Tract 633.03,15min,0.0429082,17031063303
Census Tract 634,15min,0.00540612,17031063400
Census Tract 701.01,15min,0.0691455,17031070101
Census Tract 701.02,15min,0.054039,17031070102
Census Tract 701.03,15min,0.0250676,17031070103
Census Tract 702,15min,0.0208327,17031070200
Census Tract 703,15min,0.0622611,17031070300
Census Tract 704,15min,0.0297724,17031070400
Census Tract 705,15min,0.0097161,17031070500
Census Tract 706,15min,0.0457587,17031070600
Census Tract 707,15min,0.106224,17031070700
Census Tract 710,15min,0.0625537,17031071000
Census Tract 711,15min,0.0497517,17031071100
Census Tract 712,15min,0.0522893,17031071200
Census Tract 713,15min,0.0321509,17031071300
Census Tract 714,15min,0.0674842,17031071400
Census Tract 715,15min,0.00869205,17031071500
Census Tract 716,15min,0.108243,17031071600
Census Tract 717,15min,0.118916,17031071700
Census Tract 718,15min,0.0293373,17031071800
Census Tract 801,15min,0.0285029,17031080100
Census Tract 802.01,15min,0.0134388,17031080201
Census Tract 802.02,15min,0.0640421,17031080202
Census Tract 803,15min,0.0440721,17031080300
Census Tract 804,15min,0.119234,17031080400
Census Tract 810,15min,0.0303064,17031081000
Census Tract 811,15min,0.0251481,17031081100
Census Tract 812.01,15min,0.0120574,17031081201
Census Tract 812.02,15min,0.0686533,17031081202
Census Tract 813,15min,0.0753376,17031081300
Census Tract 814.01,15min,0.0407947,17031081401
Census Tract 814.02,15min,0.0712633,17031081402
Census Tract 814.03,15min,0.0354831,17031081403
Census Tract 815,15min,0.0109781,17031081500
Census Tract 816,15min,0.0177397,17031081600
Census Tract 817,15min,0.0340192,17031081700
Census Tract 818,15min,0.0359032,17031081800
Census Tract 819,15min,0.117275,17031081900
Census Tract 901,15min,0.251637,17031090100
Census Tract 902,15min,0.0901819,17031090200
Census Tract 903,15min,0.128252,17031090300
Census Tract 1001,15min,0.0498337,17031100100
Census Tract 1002,15min,0.102814,17031100200
Census Tract 1003,15min,0.511671,17031100300
Census Tract 1004,15min,0.173384,17031100400
Census Tract 1005,15min,1.18508,17031100500
Census Tract 1006,15min,0.0310869,17031100600
Census Tract 1007,15min,0.166129,17031100700
Census Tract 1101,15min,0.100231,17031110100
Census Tract 1102,15min,0.0279223,17031110200
Census Tract 1103,15min,0.106773,17031110300
Census Tract 1104,15min,0.0378276,17031110400
Census Tract 1105.01,15min,0.160997,17031110501
Census Tract 1105.02,15min,0.172043,17031110502
Census Tract 1201,15min,0.0885025,17031120100
Census Tract 1202,15min,0.1645,17031120200
Census Tract 1203,15min,0.0116893,17031120300
Census Tract 1204,15min,0.136403,17031120400
Census Tract 1301,15min,0.0926445,17031130100
Census Tract 1302,15min,0.394911,17031130200
Census Tract 1303,15min,0.107796,17031130300
Census Tract 1401,15min,0.0606476,17031140100
Census Tract 1402,15min,0.995032,17031140200
Census Tract 1403.01,15min,1.0872,17031140301
Census Tract 1403.02,15min,0.392473,17031140302
Census Tract 1404,15min,0.0698908,17031140400
Census Tract 1405,15min,0.0759235,17031140500
Census Tract 1406.01,15min,0.0411718,17031140601
Census Tract 1406.02,15min,0.666547,17031140602
Census Tract 1407.01,15min,0.401957,17031140701
Census Tract 1407.02,15min,1.06507,17031140702
Census Tract 1408,15min,0.0781901,17031140800
Census Tract 1502,15min,0.0982132,17031150200
Census Tract 1503,15min,0.0580365,17031150300
Census Tract 1504.01,15min,0.0628034,17031150401
Census Tract 1504.02,15min,0.0942923,17031150402
Census Tract 1505.01,15min,0.173394,17031150501
Census Tract 1505.02,15min,0.163431,17031150502
Census Tract 1506,15min,0.0835093,17031150600
Census Tract 1507,15min,0.0893874,17031150700
Census Tract 1508,15min,0.116559,17031150800
Census Tract 1510.01,15min,0.148546,17031151001
Census Tract 1510.02,15min,0.105427,17031151002
Census Tract 1511,15min,0.0313569,17031151100
Census Tract 1512,15min,0.110572,17031151200
Census Tract 1601,15min,0.120577,17031160100
Census Tract 1602,15min,0.456636,17031160200
Census Tract 1603,15min,0.355106,17031160300
Census Tract 1604,15min,0.0630203,17031160400
Census Tract 1605.01,15min,1.01979,17031160501
Census Tract 1605.02,15min,1.05702,17031160502
Census Tract 1606.01,15min,0.156225,17031160601
Census Tract 1606.02,15min,0.873293,17031160602
Census Tract 1607,15min,0.470703,17031160700
Census Tract 1608,15min,0.656286,17031160800
Census Tract 1609,15min,1.01325,17031160900
Census Tract 1610,15min,0.0109741,17031161000
Census Tract 1611,15min,0.158958,17031161100
Census Tract 1612,15min,0.196313,17031161200
Census Tract 1613,15min,0.0914396,17031161300
Census Tract 1701,15min,0.306169,17031170100
Census Tract 1702,15min,0.643975,17031170200
Census Tract 1703,15min,0.16148,17031170300
